Income,Liab_ratio,Total_assete,EPS,Networth,Return_Eq,Revenue,Turnover,Stock,Reture_A,Top_100
420879,14.43,4417896.0,5.66,3539342,12.19,2940744,0.98,744172.0,9.78,0
615656,17.24,7720904.0,2.04,6477641,9.64,5072643,1.5,2949401.0,8.2,0
188421,23.92,5132942.0,2.26,3816156,4.98,1640662,0.46,826003.0,3.69,0
742244,24.78,3909537.0,13.11,2815116,27.71,3718647,1.38,593375.0,19.45,0
-676356,64.71,6402774.0,-11.09,1181781,-51.09,8941255,3.18,614550.0,-10.08,0
631304,31.77,4349169.0,6.15,2900408,22.34,4296103,1.97,1027159.0,14.81,0
460937,34.48,9784434.0,2.74,5929518,7.95,9889935,1.94,1685289.0,4.77,0
208003,61.68,3632980.0,2.23,1523035,13.95,3734514,1.76,895426.0,5.69,0
2927912,25.2,15690529.0,44.16,14101577,22.46,6987470,1.93,692229.0,20.19,0
940023,31.46,5564612.0,12.73,3848029,23.96,6032747,1.86,730004.0,16.84,0
117284,42.83,3244879.0,2.65,1847615,6.49,1259442,0.81,436646.0,3.74,0
129038,51.73,5385782.0,1.37,2351290,5.61,4347192,1.56,940893.0,2.44,0
