,公司代號,公司名稱,營業收入,營收成長率,本期淨利（淨損）,淨值,股東權益報酬率,股本,資產總額,資產報酬率,總資產週轉率,負債比率,基本每股盈餘（元）,Top_100
0,N_name,Name,Revenue,SV,Income,Networth,Return_Eq,Stock,Total_assete,Reture_A,Turnover,Liab_ratio,EPS,Top_100
214,1906,寶隆,1245461,-2.19,93259,6372862,1.73,1510000,8355580,1.27,0.39,32.17,0.62,0
215,1907,永豐餘,73234546,-1.75,6603903,58287999,11.73,16603715,123771210,5.41,1.07,58.06,3.14,0
216,1909,榮成,41600592,-13.01,927510,25423046,3.88,12776857,73676851,1.28,1.17,68.28,0.77,0
217,2002,中鋼,314783301,-14.05,2257833,323106981,0.71,157731290,636082697,0.36,0.96,50.17,0.05,1
218,2006,東和鋼鐵,42866290,-4.69,3556583,27707825,13.46,10587599,44421087,8,1.63,49.04,3.52,0
219,2007,燁興,5589791,-14.7,-484760,7424561,-6.7,5306516,12939217,-2.95,0.51,72.97,-0.89,0
220,2008,高興昌,962510,-15.73,-32794,2772158,-1.26,2008523,6662194,-0.54,0.4,52.64,-0.16,0
221,2009,第一銅,2260596,-11.17,79210,4548719,1.93,3596222,6038411,1.44,0.86,30.55,0.22,0
222,2010,春源,19228310,14.17,522395,10995110,4.82,6476554,18271473,2.85,1.64,38.29,0.79,0
223,2012,春雨,8054615,-13.7,263036,4131457,6.55,2877740,10745473,2.48,1.45,60.47,0.75,0
224,2013,中鋼構,13242169,-20.74,630701,4807058,13.5,2000000,14723286,4.28,1.97,70.26,3.26,0
225,2014,中鴻,36790154,-9.09,528260,15233274,3.64,14355444,27100057,1.93,2.37,52.18,0.37,0
226,2015,豐興,27298051,-1.58,2619426,19468210,13.76,5815994,23013862,11.73,2.24,14.81,4.5,0
227,2017,官田鋼,3493012,-11.68,65923,5271719,1.29,3418675,9386739,0.72,0.84,39.89,0.04,0
228,2020,美亞,5073767,13.17,392144,3144355,12.82,2225261,6777379,5.76,1.24,50.32,1.76,0
229,2022,聚亨,7930384,-31.75,-219823,5451198,-4.04,4797520,8162208,-2.63,2.2,38.45,-0.39,0
230,2023,燁輝,55421795,-7.19,517588,27831114,1.88,18905695,84032370,0.62,1.25,67.23,0.39,0
231,2024,志聯,1184430,-4.17,26843,1136592,2.38,975000,1923232,1.37,1.01,46.37,0.28,0
232,2025,千興,803775,-30.41,-209678,434108,-47.3,2811673,1754625,-12.2,1.06,67.38,-0.75,0
233,2027,大成鋼,59234909,-23.93,-101458,36956956,-0.3,16584659,98131485,-0.1,1.33,64.84,-0.44,0
234,2028,威致,8690155,-10.2,602547,3006687,21.1,3257148,6565820,9.25,2.67,60.07,1.85,0
235,2029,盛餘,9381644,-5.02,253371,8910744,2.88,3211800,10066823,2.57,1.82,9.21,0.77,0
236,2030,彰源,10560947,-11.88,108351,3909369,2.82,2805260,11667992,0.95,1.95,62.45,0.38,0
237,2031,新光鋼,9852311,16.21,845733,8101430,11.22,3082226,19893273,4.38,0.89,57.67,2.69,0
238,2032,新鋼,3266944,14.85,75993,1708979,4.47,1305215,2076932,3.63,2.45,16.18,0.58,0
239,2033,佳大,757773,-8.92,19810,1041869,1.93,806945,1195584,1.66,1.19,17.8,0.25,0
240,2034,允強,12717152,-22.02,423567,9089375,5.23,4371307,13212563,3.34,2.33,38.66,1.04,0
241,2038,海光,7600525,-4.44,149541,3540413,4.32,1812645,8303616,1.87,1.76,56.35,0.87,0
242,2049,上銀,21266659,5.21,1698779,27389394,6.57,3308663,48037782,3.52,0.74,51.06,6.05,0
243,2059,川湖,4801405,-1.38,1164589,11121041,10.59,952971,13375276,8.9,0.65,15.68,12.22,0
244,2062,橋椿,7237623,18.27,-77498,5188680,-1.52,1630142,12530665,-0.63,0.89,56.79,-0.48,0
245,2069,運錩,7433603,-14.83,40157,3259089,1.26,1563868,8415947,0.49,1.84,58.87,0.26,0
246,2101,南港,9695119,-12.77,844378,10787307,7.94,8339349,32025140,2.69,0.71,61.26,1.05,0
247,2102,泰豐,5704663,25.63,111477,7543425,1.81,4733292,14575805,0.95,0.58,46.19,0.24,0
248,2103,台橡,24024443,-16.9,215261,15858659,1.38,8257099,29268382,0.74,1.59,49.4,-0.03,0
249,2104,國際中橡,17105502,-23.11,676010,33819562,2.02,9847336,50187227,1.35,0.78,33.55,0.75,0
250,2105,正新,96209056,-11.98,6001203,80975281,7.63,32414155,151325153,3.99,1.16,52.47,1.85,0
251,2106,建大,30260185,-6.25,972225,19109727,5.15,9094100,42390039,2.3,1.35,55.3,1.07,0
252,2107,厚生,3282255,21.49,901716,11182259,8.2,3423260,12257115,7.47,0.37,16.75,2.62,0
253,2108,南帝,14402725,16.26,3620225,11287410,35.28,4924167,14409854,28.15,2.07,18.04,7.21,0
254,2109,華豐,4882864,-6.87,561919,4524978,12.84,3323492,8049717,7.2,1.25,43.56,1.33,0
255,2114,鑫永銓,1596510,-3.73,523696,2525111,21.84,709016,2916069,18.92,1.08,14.47,7.39,0
256,2115,六暉-KY,2602257,-4.22,594759,2719423,22.6,903664,4725135,13.36,1.24,44.52,6.58,0
257,2201,裕隆,82597514,-3.1,4839562,64875320,7.84,10000000,301322746,1.61,0.46,81.82,2.8,0
258,2204,中華,30874600,-3.73,3540548,45706644,7.85,5536203,54597693,6.61,1,18.07,6.01,0
259,2206,三陽工業,40774917,21.48,2051856,16066789,12.89,8030776,44018077,4.67,1.44,62.94,2.41,0
260,2208,台船,25296629,52.93,-1600087,5008081,-30.2,4730555,37247566,-4.39,0.84,81.59,-3.38,0
261,2211,長榮鋼,9349649,,1404259,16797569,,3994260,24053202,,,,2.65,0
262,2227,裕日車,29660638,-8.73,6540938,21674551,32.34,3000000,27764630,23.49,2.01,24.49,21.8,0
263,2228,劍麟,3423476,-25.03,98938,3681694,2.75,757803,5494037,1.84,1.52,22.55,1.3,0
264,2231,為升,3340199,-18.52,250171,3568748,7.13,1219166,7527861,3.19,1,37.04,2.03,0
265,2233,宇隆,2538399,7.83,359289,2839481,12.98,602881,4281814,8.71,1.05,31.08,6.23,0
266,2236,百達-KY,1181611,-34.17,27288,1298763,2.1,457597,2263862,1.22,1.36,42.66,0.69,0
267,2239,英利-KY,21644152,-1.35,825466,13445532,6.29,1180070,32363922,2.62,1.27,56.66,4.07,0
268,2241,艾姆勒,847271,,6546,1678002,,872753,2364110,,,,0.08,0
269,2243,宏旭-KY,757591,-57.13,-284892,551109,-43.62,456685,3902206,-7.78,0.88,75.02,-6.23,0
270,2247,汎德永業,39561996,,1070976,11356644,,807087,18549908,,,,14.5,0
271,2250,IKKA-KY,3623549,,107544,988387,,220000,3033070,,,,5.2,0
272,2301,光寶科,157133623,-11.71,9829204,74141514,13.29,23508670,176067237,5.57,1.65,60.01,4.31,1
273,2302,麗正,759358,52.55,105636,1738886,6.25,1663029,2146524,4.86,0.44,17.17,0.64,0
274,2303,聯電,176820914,19.31,27180412,235773102,11.9,124224015,377516375,7.29,0.68,44.02,2.42,1
275,2305,全友,582434,14.64,21579,2214923,0.98,2056608,2901120,0.75,0.3,23.9,0.08,0
276,2308,台達電,282605493,5.4,27384339,178589641,15.58,25975433,336416215,8.24,1.48,43.94,9.81,1
277,2312,金寶,128219874,-7.02,240132,24987998,0.97,14670052,99275157,0.24,2.44,73.35,0.11,0
278,2313,華通,60516929,7.73,4664701,29146571,16.45,11918206,66395616,7.09,1.56,57.95,3.91,0
279,2314,台揚,3949997,-31.88,-95415,2419530,-3.88,2280283,5399783,-1.84,2.03,47.15,-0.42,0
280,2316,楠梓電,4784973,-6.2,414059,7350506,5.71,1827405,12572852,3.3,0.71,41.32,2.14,0
281,2317,鴻海,5358023065,0.31,114325587,1474146409,8.03,138629906,3674275590,3.26,2.66,57.85,7.34,1
282,2321,東訊,1075547,-31.29,-34701,478995,-7.32,945997,1902890,-1.8,1.23,72.5,-0.9,0
283,2323,中環,9401027,33.33,124827,19321651,0.66,11588812,24805009,0.5,0.52,23.27,0.1,0
284,2324,仁寶,1048929251,6.99,10409512,115989650,9.14,44071466,466925698,2.31,4.23,70.01,2.15,1
285,2327,國巨,67672108,63.86,13003182,69499336,19.06,4969841,183030890,7.14,0.7,52.02,27.58,0
