Company_Code,Company_Name,Revenue,Revenue_Growth_Rate,Net_Income_Loss,Net_Worth,Return_on_Equity,Stock,Total_Assets,Return_on_Assets,Asset_Turnover_Ratio,Debt_Ratio,EPS,Top_100
1464,得力,8594659.0,21.68,206633.0,5454783.0,3.75,3845657.0,17847430.0,1.17,1.0,66.63,0.54,0.00 
1465,偉全,425282.0,52.24,25072.0,1711413.0,1.46,1036073.0,1917878.0,1.3,0.51,16.62,0.24,0.00 
1466,聚隆,2635433.0,19.5,40489.0,1579597.0,2.59,1111573.0,3420333.0,1.2,1.68,54.67,0.38,0.00 
1467,南緯,8598587.0,23.78,164775.0,3332000.0,5.08,2336247.0,8112920.0,1.97,1.75,63.22,0.72,0.00 
1468,昶和,961757.0,4.75,45183.0,1257998.0,3.56,1604053.0,2867261.0,1.62,0.7,54.3,0.26,0.00 
1470,大統新創,630757.0,22.91,35414.0,966140.0,3.71,857670.0,1173413.0,3.12,1.23,16.35,0.41,0.00 
1471,首利,1085366.0,16.68,396093.0,1043367.0,39.45,1504145.0,1595001.0,22.49,1.28,48.75,2.63,0.00 
1472,三洋紡,329104.0,27.43,425124.0,260628.0,196.35,860528.0,1794920.0,29.05,0.5,68.36,8.66,0.00 
1473,台南,5970540.0,22.09,355198.0,3279999.0,10.45,1471535.0,5038874.0,6.7,2.36,34.55,2.45,0.00 
1474,弘裕,2858477.0,17.2,100880.0,1995694.0,5.12,1298970.0,3862094.0,2.63,1.63,47.54,0.83,0.00 
1475,業旺,168113.0,197.43,3910.0,350092.0,1.08,560168.0,435455.0,0.9,1.59,67.14,0.24,0.00 
1476,儒鴻,28175401.0,0.18,4254534.0,19167984.0,23.13,2743671.0,26446425.0,16.67,2.13,22.28,15.51,0.00 
1477,聚陽,24924170.0,7.85,2078913.0,10164164.0,21.09,2198566.0,18635811.0,11.72,3.26,37.66,9.35,0.00 
1503,士電,25684003.0,0.53,1596946.0,25700345.0,6.27,5209722.0,42057817.0,3.85,1.11,39.46,2.93,0.00 
1504,東元,45823430.0,5.28,3811648.0,67625232.0,5.65,19676929.0,105679071.0,3.6,0.85,37.73,1.81,0.00 
1506,正道,855851.0,27.15,370361.0,902840.0,40.13,1631618.0,2289883.0,16.09,0.74,67.69,2.19,0.00 
1507,永大,15318751.0,11.42,1345347.0,12042300.0,11.33,4108200.0,23916553.0,5.75,1.09,47.27,3.2,0.00 
1512,瑞利,1188984.0,38.79,128179.0,184737.0,67.05,2367025.0,2218122.0,5.8,1.23,89.92,0.55,0.00 
1513,中興電,15390789.0,24.35,1551301.0,10903546.0,15.31,4761343.0,29541235.0,5.46,1.05,61.35,3.59,0.00 
1514,亞力,5113892.0,5.51,320145.0,3327346.0,9.74,2174540.0,6119464.0,5.14,1.42,46.53,1.51,0.00 
1515,力山,11374207.0,43.94,822190.0,3761193.0,23.11,1814735.0,9541148.0,9.37,1.97,50.01,4.5,0.00 
1516,川飛,820184.0,21.97,28653.0,407295.0,7.08,343948.0,473379.0,6.09,2.51,17.67,0.83,0.00 
1517,利奇,3383919.0,12.85,202305.0,3367379.0,6.16,2278250.0,4823283.0,4.33,1.19,26.74,0.76,0.00 
1519,華城,8471592.0,18.04,457514.0,3547016.0,13.21,2610585.0,8692352.0,4.91,1.26,60.65,1.75,0.00 
1521,大億,4797165.0,11.0,159750.0,1760329.0,9.25,762300.0,3669776.0,4.38,2.58,47.72,2.1,0.00 
1522,堤維西,14446208.0,17.92,286687.0,6704926.0,4.33,3128979.0,22745135.0,1.27,1.29,70.94,0.84,0.00 
1524,耿鼎,1908786.0,20.26,36537.0,2203927.0,1.67,1653104.0,5033319.0,0.72,0.82,54.16,0.21,0.00 
1525,江申,1052991.0,15.23,324045.0,4323976.0,7.67,734001.0,5284732.0,6.27,0.43,18.48,4.41,0.00 
1526,日馳,1246649.0,9.99,178317.0,1132693.0,15.95,600000.0,1847517.0,10.04,1.2,38.24,2.97,0.00 
1527,鑽全,3589313.0,3.62,406950.0,4116934.0,10.01,1385706.0,5089151.0,8.17,0.67,15.88,2.94,0.00 
1528,恩德,3210946.0,22.73,118019.0,2184250.0,5.37,1993310.0,5010635.0,2.36,1.35,52.91,0.61,0.00 
1529,樂士,609148.0,23.27,62077.0,1074091.0,5.81,959680.0,1627586.0,3.84,0.65,43.48,0.65,0.00 
1530,亞崴,3093583.0,9.49,594202.0,3251872.0,18.39,965942.0,6023970.0,9.65,0.89,55.28,3.92,0.00 
1531,高林股,1609928.0,25.81,55089.0,3540095.0,1.56,1836081.0,4424494.0,1.27,0.87,16.76,0.3,0.00 
1532,勤美,13125899.0,3.89,791441.0,16002072.0,5.08,3761221.0,44787320.0,1.78,0.59,63.33,1.47,0.00 
1533,車王電,2866192.0,2.21,5000.0,2723530.0,0.19,985475.0,6428761.0,0.08,0.85,54.42,0.86,0.00 
1535,中宇,8836360.0,5.15,197435.0,2960256.0,6.74,1237426.0,6724372.0,3.1,2.58,51.93,1.6,0.00 
1536,和大,5211042.0,12.76,285560.0,6407043.0,4.51,2545175.0,18351175.0,1.58,0.61,61.38,1.12,0.00 
1537,廣隆,7119214.0,10.31,879196.0,3990104.0,22.55,820684.0,5445598.0,16.29,2.52,25.4,10.75,0.00 
1538,正峰,275762.0,22.63,12302.0,172935.0,6.99,264105.0,458269.0,2.69,0.61,84.34,0.57,0.00 
1539,巨庭,2293323.0,4.45,18592.0,1251074.0,1.47,653700.0,4436747.0,0.42,1.21,60.81,0.28,0.00 
1540,喬福,311106.0,53.61,20657.0,1336100.0,1.55,854736.0,1566895.0,1.33,0.7,13.24,0.24,0.00 
1541,錩泰,5271945.0,25.52,456555.0,1714454.0,27.57,788000.0,3839724.0,12.09,2.33,58.81,5.79,0.00 
